import time: self [us] | cumulative | imported package
import time:        75 |         75 |   _io
import time:        13 |         13 |   marshal
import time:       171 |        171 |   posix
import time:       266 |        524 | _frozen_importlib_external
import time:       484 |        484 |   time
import time:        67 |        551 | zipimport
import time:        38 |         38 |     _codecs
import time:       279 |        317 |   codecs
import time:       565 |        565 |   encodings.aliases
import time:       719 |       1600 | encodings
import time:       259 |        259 | encodings.utf_8
import time:        42 |         42 | _signal
import time:        17 |         17 |     _abc
import time:        78 |         95 |   abc
import time:        90 |        185 | io
import time:        24 |         24 |       _stat
import time:        32 |         55 |     stat
import time:       434 |        434 |     _collections_abc
import time:        23 |         23 |       genericpath
import time:        34 |         57 |     posixpath
import time:       182 |        727 |   os
import time:        31 |         31 |   _sitebuiltins
import time:       778 |        778 |   _distutils_hack
import time:        34 |         34 |   sitecustomize
import time:        25 |         25 |   usercustomize
import time:      1065 |       2657 | site
import time:       643 |        643 |       __future__
import time:       303 |        303 |           types
import time:        38 |         38 |             _operator
import time:       376 |        413 |           operator
import time:        46 |         46 |               itertools
import time:       216 |        216 |               keyword
import time:       264 |        264 |               reprlib
import time:        31 |         31 |               _collections
import time:       676 |       1232 |             collections
import time:        24 |         24 |             _functools
import time:       486 |       1741 |           functools
import time:       937 |       3393 |         enum
import time:        38 |         38 |           _sre
import time:       882 |        882 |             re._constants
import time:       403 |       1284 |           re._parser
import time:       233 |        233 |           re._casefix
import time:       439 |       1993 |         re._compiler
import time:       249 |        249 |         copyreg
import time:       485 |       6118 |       re
import time:       911 |        911 |         math
import time:       417 |        417 |         _datetime
import time:      1085 |       2412 |       datetime
import time:       263 |        263 |         fnmatch
import time:        46 |         46 |           _winapi
import time:        41 |         41 |           nt
import time:        37 |         37 |           nt
import time:        36 |         36 |           nt
import time:        35 |         35 |           nt
import time:        35 |         35 |           nt
import time:        53 |        281 |         ntpath
import time:       356 |        356 |         warnings
import time:        29 |         29 |         errno
import time:       166 |        166 |           urllib
import time:       911 |        911 |           ipaddress
import time:       920 |       1996 |         urllib.parse
import time:       701 |       3622 |       pathlib
import time:       349 |        349 |         collections.abc
import time:       705 |        705 |         contextlib
import time:      9152 |       9152 |         _typing
import time:      1636 |      11842 |       typing
import time:      6976 |       6976 |         _uuid
import time:       686 |       7662 |       uuid
import time:       840 |        840 |         importlib
import time:       688 |        688 |                       _ast
import time:      1292 |       1980 |                     ast
import time:      4380 |       4380 |                         _opcode
import time:       434 |       4814 |                       opcode
import time:       866 |       5679 |                     dis
import time:        50 |         50 |                     importlib.machinery
import time:       582 |        582 |                         token
import time:       795 |       1376 |                       tokenize
import time:       330 |       1705 |                     linecache
import time:      1348 |      10761 |                   inspect
import time:      1018 |       1018 |                   _socket
import time:      2324 |      14102 |                 typing_extensions
import time:     13683 |      13683 |                 pydantic_core._pydantic_core
import time:       909 |        909 |                       numbers
import time:      6151 |       7060 |                     _decimal
import time:       654 |       7713 |                   decimal
import time:       374 |        374 |                           concurrent
import time:      1417 |       1417 |                                 textwrap
import time:       976 |       2392 |                               traceback
import time:       667 |        667 |                                 _weakrefset
import time:       869 |       1536 |                               weakref
import time:        22 |         22 |                                 _string
import time:      1560 |       1581 |                               string
import time:       694 |        694 |                               threading
import time:        21 |         21 |                               atexit
import time:      1931 |       8153 |                             logging
import time:       765 |       8918 |                           concurrent.futures._base
import time:       292 |       9582 |                         concurrent.futures
import time:      5513 |       5513 |                           _heapq
import time:       400 |       5913 |                         heapq
import time:       765 |        765 |                             select
import time:      1383 |       2148 |                           selectors
import time:       741 |        741 |                           array
import time:      1132 |       4020 |                         socket
import time:       110 |        110 |                             _locale
import time:       838 |        947 |                           locale
import time:       466 |        466 |                           signal
import time:      7663 |       7663 |                           fcntl
import time:       115 |        115 |                           msvcrt
import time:      5541 |       5541 |                           _posixsubprocess
import time:      1032 |      15762 |                         subprocess
import time:      2862 |       2862 |                           _ssl
import time:       682 |        682 |                               _struct
import time:       253 |        934 |                             struct
import time:       563 |        563 |                             binascii
import time:       476 |       1973 |                           base64
import time:      1905 |       6740 |                         ssl
import time:       424 |        424 |                         asyncio.constants
import time:       286 |        286 |                         asyncio.coroutines
import time:      7536 |       7536 |                             _contextvars
import time:       288 |       7823 |                           contextvars
import time:       490 |        490 |                           asyncio.format_helpers
import time:       341 |        341 |                             asyncio.base_futures
import time:       235 |        235 |                             asyncio.exceptions
import time:       247 |        247 |                             asyncio.base_tasks
import time:      5236 |       6057 |                           _asyncio
import time:       733 |      15101 |                         asyncio.events
import time:       401 |        401 |                         asyncio.futures
import time:       346 |        346 |                         asyncio.protocols
import time:       296 |        296 |                           asyncio.transports
import time:       102 |        102 |                           asyncio.log
import time:       655 |       1051 |                         asyncio.sslproto
import time:       158 |        158 |                             asyncio.mixins
import time:       431 |        431 |                             asyncio.tasks
import time:       716 |       1304 |                           asyncio.locks
import time:       356 |       1660 |                         asyncio.staggered
import time:       295 |        295 |                         asyncio.trsock
import time:       955 |      62530 |                       asyncio.base_events
import time:       272 |        272 |                       asyncio.runners
import time:       290 |        290 |                       asyncio.queues
import time:       438 |        438 |                       asyncio.streams
import time:       393 |        393 |                       asyncio.subprocess
import time:       254 |        254 |                       asyncio.taskgroups
import time:       440 |        440 |                       asyncio.timeouts
import time:       115 |        115 |                       asyncio.threads
import time:       323 |        323 |                         asyncio.base_subprocess
import time:       467 |        467 |                         asyncio.selector_events
import time:       538 |       1327 |                       asyncio.unix_events
import time:      1034 |      67090 |                     asyncio
import time:        19 |      67108 |                   asyncio.coroutines
import time:     10428 |      85248 |                 pydantic_core.core_schema
import time:       857 |     113889 |               pydantic_core
import time:       320 |     114209 |             pydantic.version
import time:       891 |     115099 |           pydantic.warnings
import time:      1014 |     116112 |         pydantic._migration
import time:       860 |        860 |             typing_inspection
import time:        74 |         74 |                     org
import time:        18 |         91 |                   org.python
import time:        13 |        104 |                 org.python.core
import time:       393 |        496 |               copy
import time:       674 |       1169 |             dataclasses
import time:      1956 |       1956 |             typing_inspection.typing_objects
import time:       882 |       4866 |           typing_inspection.introspection
import time:       577 |        577 |           pydantic._internal
import time:       559 |        559 |               pydantic._internal._namespace_utils
import time:       746 |       1304 |             pydantic._internal._typing_extra
import time:       894 |       2198 |           pydantic._internal._repr
import time:       778 |       8416 |         pydantic.errors
import time:      1165 |     126532 |       pydantic
import time:       211 |        211 |           pydantic._internal._internal_dataclass
import time:       878 |       1089 |         pydantic.aliases
import time:       881 |        881 |         pydantic.config
import time:       627 |       2595 |       pydantic._internal._config
import time:       319 |        319 |         pydantic._internal._core_utils
import time:       245 |        245 |           pydantic._internal._import_utils
import time:      1000 |       1245 |         pydantic._internal._utils
import time:      2390 |       3953 |       pydantic._internal._decorators
import time:       558 |        558 |           pydantic._internal._forward_ref
import time:       901 |       1459 |         pydantic._internal._generics
import time:       296 |        296 |         pydantic._internal._docs_extraction
import time:       673 |       2427 |       pydantic._internal._fields
import time:       892 |        892 |           pydantic.plugin
import time:       397 |       1288 |         pydantic.plugin._schema_validator
import time:       304 |       1591 |       pydantic._internal._mock_val_ser
import time:       857 |        857 |           fractions
import time:       481 |        481 |               sysconfig
import time:       686 |        686 |               _sysconfigdata__darwin_darwin
import time:       509 |        509 |               _osx_support
import time:      1381 |       3055 |             zoneinfo._tzpath
import time:       423 |        423 |             zoneinfo._common
import time:      5827 |       5827 |             _zoneinfo
import time:       934 |      10238 |           zoneinfo
import time:       408 |        408 |           pydantic.annotated_handlers
import time:      2323 |       2323 |           pydantic.functional_validators
import time:       256 |        256 |             pydantic._internal._core_metadata
import time:       255 |        255 |             pydantic._internal._schema_generation_shared
import time:      1265 |       1775 |           pydantic.json_schema
import time:       327 |        327 |           pydantic._internal._discriminated_union
import time:       323 |        323 |           pydantic._internal._known_annotated_metadata
import time:       538 |        538 |           pydantic._internal._schema_gather
import time:      1015 |      17800 |         pydantic._internal._generate_schema
import time:       174 |        174 |         pydantic._internal._signature
import time:       410 |      18382 |       pydantic._internal._model_construction
import time:      4075 |       4075 |       annotated_types
import time:      1841 |       1841 |       pydantic._internal._validators
import time:      6079 |       6079 |       pydantic.types
import time:      8965 |       8965 |             _csv
import time:       566 |       9530 |           csv
import time:       813 |        813 |           email
import time:       383 |        383 |               importlib._abc
import time:       212 |        594 |             importlib.util
import time:       996 |        996 |               zlib
import time:       324 |        324 |                 _compression
import time:       648 |        648 |                 _bz2
import time:       391 |       1362 |               bz2
import time:      1563 |       1563 |                 _lzma
import time:       317 |       1880 |               lzma
import time:       993 |       5229 |             shutil
import time:      1406 |       7228 |           zipfile
import time:       327 |        327 |               quopri
import time:       717 |        717 |                     _bisect
import time:       215 |        932 |                   bisect
import time:       901 |        901 |                   _random
import time:       660 |        660 |                   _sha512
import time:       506 |       2997 |                 random
import time:       565 |        565 |                   calendar
import time:       517 |       1082 |                 email._parseaddr
import time:       220 |        220 |                   email.base64mime
import time:       273 |        273 |                   email.quoprimime
import time:       446 |        446 |                   email.errors
import time:       189 |        189 |                   email.encoders
import time:       332 |       1458 |                 email.charset
import time:       475 |       6010 |               email.utils
import time:       652 |        652 |                 email.header
import time:       353 |       1005 |               email._policybase
import time:       185 |        185 |               email._encoded_words
import time:       208 |        208 |               email.iterators
import time:      1034 |       8766 |             email.message
import time:       175 |        175 |               importlib.metadata._functools
import time:       426 |        601 |             importlib.metadata._text
import time:       357 |       9722 |           importlib.metadata._adapters
import time:       291 |        291 |           importlib.metadata._meta
import time:       291 |        291 |           importlib.metadata._collections
import time:        93 |         93 |           importlib.metadata._itertools
import time:       523 |        523 |                   tempfile
import time:       315 |        315 |                   importlib.resources.abc
import time:       298 |        298 |                   importlib.resources._adapters
import time:       422 |       1557 |                 importlib.resources._common
import time:       412 |        412 |                 importlib.resources._legacy
import time:       130 |       2098 |               importlib.resources
import time:         8 |       2105 |             importlib.resources.abc
import time:       340 |       2445 |           importlib.abc
import time:      1149 |      31558 |         importlib.metadata
import time:       394 |      31952 |       pydantic.plugin._loader
import time:     99160 |     330878 |     looplane.contracts
import time:      9349 |       9349 |             _json
import time:       347 |       9695 |           json.scanner
import time:       549 |      10244 |         json.decoder
import time:       477 |        477 |         json.encoder
import time:       787 |      11507 |       json
import time:       999 |      12506 |     looplane.events
import time:       193 |     343576 |   looplane
import time:       680 |        680 |   shlex
import time:       720 |        720 |   webbrowser
import time:       455 |        455 |     typer.colors
import time:       632 |        632 |             typer._click._compat
import time:       232 |        232 |               typer._click.globals
import time:       370 |        370 |               typer._click.utils
import time:       554 |       1155 |             typer._click.exceptions
import time:       684 |       2471 |           typer._click.types
import time:       254 |        254 |             typer._click.parser
import time:       242 |        496 |           typer._click.formatting
import time:       368 |        368 |           typer._click.termui
import time:       706 |       4040 |         typer._click.core
import time:       631 |       4670 |       typer._click
import time:        11 |       4681 |     typer._click.exceptions
import time:      1140 |       1140 |       platform
import time:       239 |        239 |         annotated_doc.main
import time:       387 |        625 |       annotated_doc
import time:       339 |        339 |         typer._click.shell_completion
import time:       401 |        740 |       typer._types
import time:       267 |        267 |       typer._typing
import time:       319 |        319 |               shellingham._core
import time:       612 |        930 |             shellingham
import time:       785 |       1715 |           typer._completion_shared
import time:       549 |       2263 |         typer._completion_classes
import time:       795 |        795 |         typer.models
import time:      1718 |       1718 |         typer.params
import time:       510 |        510 |         typer.utils
import time:       379 |       5662 |       typer.completion
import time:       629 |        629 |         difflib
import time:       707 |        707 |         gettext
import time:       567 |       1903 |       typer.core
import time:       904 |      11239 |     typer.main
import time:       458 |      16832 |   typer
